,Unnamed: 0,Name,language,genra,chapters,type,status,authors,published,score,views
11014,11014,The Reclusive Hero: Journey From Seclusion To City,EN,"Action,Adventure,Comedy",Chap 17,Manhua,Publishing,,?,,5427
11015,11015,The Record of a Fallen Vampire,EN/FR/JA,"Magic,Shounen,Supernatural",Chap 43.5,Manga,Finished,"Shirodaira,Kyou(Story),Kimura,Yuri(Art)","Aug12,2003toFeb10,2007",8.08,851
11016,11016,The Red Book,EN,"Horror,Psychological",Chap 25,Manhwa,Finished,,?,,398
11017,11017,The Red Hook: Blackout & PTSD,EN,,Chap 39,Manhwa,Finished,,?,,131
11018,11018,The Red Hook: STARCROSS,EN,,Chap 26.5,Manhwa,Finished,,?,,252
11019,11019,The Red Hook: War Cry,EN,,Chap 27,Manhwa,Finished,,?,,26
11020,11020,The Red King,EN,Supernatural,Chap 54.5,Manhwa,Publishing,,?,,347
11021,11021,The Red Knight Seeks No Reward,EN,"Action,Drama,Fantasy",Chap 88,Manhwa,Publishing,,?,,4091
11022,11022,The Red Ranger Becomes An Adventurer In Another World,EN/JA,"Action,Adventure,Fantasy",Chap 36,Manga,Publishing,"Nakayoshi,Koyoshi(Story&Art)","Oct12,2020to?",,8943
11023,11023,The Red Sleeve,EN,"Drama,Fantasy,Historical",Chap 45,Manhwa,Publishing,,?,,481
11024,11024,The Regressed Demon Lord is Kind,EN,"Action,Adventure,Comedy",Chap 44,Manhwa,Publishing,,?,,19083
11025,11025,The Regressed Son of a Duke is an Assassin,EN,"Action,Drama,Fantasy",Chap 39,Manhwa,Publishing,,?,,80674
11026,11026,The Reincarnated Assassin is a Genius Swordsman,EN,"Action,Drama,Fantasy",Chap 37,Manhwa,Publishing,,?,,76486
11027,11027,The Reincarnated Elf Left on a Journey to Master His Magic and With His Extra Lifespan Became a Living Legend,EN/JA,"Action,Adventure,Drama",Chap 6,Manga,Publishing,,?,,5269
11028,11028,The Reincarnated Inferior Magic Swordsman,EN/JA,"Action,Adventure,Fantasy",Chap 93,Manga,Publishing,"Kanou,Hiroto(Art),Hagiu,Aki","Jun25,2020to?",6.35,33023
11029,11029,"The Reincarnated Noble Who Was Exiled, Uses a Useless Skill to Rule Over Domestic Affairs~ Was Supposed to Run the Territory Freely, but Thanks to the Skill ""Gacha"", Ended Up Creating the Strongest Territory~",EN/JA,"Action,Comedy,Fantasy",Chap 25,Manga,Publishing,,?,,2760
11030,11030,The Reincarnated Princess Wants Territories Over Love so She Wants a Political Marriage,EN,"Comedy,Fantasy,Romance",Chap 1,Manga,Publishing,,?,,405
11031,11031,The Reincarnated Villainess' Dark History,EN/JA,"Comedy,Fantasy,Romance",Chap 47,Manga,Publishing,"Touka,Akiharu(Story&Art)","Aug24,2018to?",,3561
11032,11032,The Reincarnated Young Lady Aims to be an Adventurer!,EN/JA,"Adventure,Fantasy",Chap 28,Manga,Publishing,"Sakura,Tasuke(Art),Oda,Hiro(Story)","May25,2019to?",6.92,1782
